toy_id,toy_name,setls_internal_id,rental_price_cents,fetch_status
776,Wooden Learning Abacus,143504,50,ok
777,Table and chairs,142046,200,ok
778,trampoline 3,142047,200,ok
779,LeapFrog Musical Table Drum,143505,50,ok
780,Animal Cottage,142049,100,ok
782,Hexagon Shape Sorter,143506,50,ok
784,Lego Jet Fuel Truck,142053,50,ok
786,LeapFrog Count & Colors Band,143507,50,ok
787,My Little Pony Fashion Fun,142056,100,ok
788,Little People Lil' Movers Airplane,143508,100,ok
789,Wooden Airport Set,143509,150,ok
79,All in one coffee shop,142950,100,ok
792,Metal Machines,143513,100,ok
794,Busy Park,142062,50,ok
795,Transport Pathfinder,142063,50,ok
80,Happy Villa dolls house,142951,150,ok
803,Connect Four,142071,50,ok
807,Monopoly Junior,143524,100,ok
808,Road Signs,142076,50,ok
81,Tool bench,142952,,no_price
810,2 wheel scooter,142078,100,ok
813,Wooden Block,143528,50,ok
814,Eichhorn Wooden Block,143529,50,ok
817,Walker Pram (without doll),142085,50,ok
818,Viking Fire Truck,142086,50,ok
819,Fisher-Price Airplane,142087,100,ok
82,Cot toy,142953,50,ok
820,Car Carrier Truck Set,143531,150,ok
824,Busy Bouncing Zoo,142092,50,ok
829,Fantasy World Block Puzzle,142097,50,ok
833,Sonya Lee and Her Pet Salon,142101,100,ok
834,Rush Hour Junior,142102,100,ok
837,Sharon the Sheep,142105,100,ok
838,CooCoo the Rocking Clown,142106,100,ok
839,What a Performance,142107,100,ok
844,Magnetico,142112,100,ok
847,Pink Bead Frame,142115,50,ok
849,Mixed Baby Toys #2,142117,50,ok
85,Wooden clock puzzle,142957,50,ok
850,Polar Bear Ball Slide,142118,100,ok
857,Candy Land Game,142125,100,ok
867,Shapes Board,142135,50,ok
87,Bead lacing,142958,50,ok
871,Pop up Turtle,142139,50,ok
874,Mike the Mower,142142,50,ok
875,Little People Ambulance,142143,100,ok
878,Blocksters Block Spot,142146,100,ok
879,Clipo Hippo,142147,50,ok
88,Paw patrol matching game,142959,50,ok
881,Duplo Numbers Set,142149,100,ok
883,Jungle of Fun,142151,100,ok
884,Green Triang Trike,142152,300,ok
885,Red Tandum Bike,142153,300,ok
889,Felt Creations - Construction,142157,50,ok
89,Paw patrol giant puzzle,142960,50,ok
891,My Little Pony Room,142158,100,ok
893,Little People Builders,142160,200,ok
9,ZAP THE COW,142954,50,ok
90,Pink musical push chair,142961,50,ok
903,Baby Dress Up,142169,100,ok
904,Pop Up Pirate,142170,50,ok
906,Plasma Car,142172,300,ok
908,Castle Logix,142174,50,ok
91,dolls bunk beds,142962,200,ok
910,Thomas - Rock and Roll Quarry Set,142176,100,ok
913,Name That Country - Geography Game,142179,100,ok
916,GeoSafari - Talking Microscope,142182,50,ok
919,Switchback Racetrack,142185,100,ok
924,Little People Stand n Play Ramp,142190,200,ok
95,Wild Whirlpool water table,142966,300,ok
96,Get Rollin activity table,142967,200,ok
97,3 in 1 twinkling horse table walker,142968,200,ok
977,Fisher Price Small Car Garage,143313,50,ok
98,Jolly jumper 2,142969,200,ok
984,fold up Slide,142192,200,ok
987,Aqualand,142195,200,ok
988,Wooden Trolley,142196,50,ok
989,Wooden MailBox,142197,50,ok
99,Springin Safari bounce around,142970,300,ok
J108,Months and Seasons,142628,50,ok
J114,Funny Frogs,142634,50,ok
J1151,Barbie  Spring Thing Puzzle,142808,50,ok
J116,Spider textured,142636,50,ok
J12,Maori Numbers 1-5,142555,50,ok
J126,Tactile Match Ups,142643,50,ok
J130,Composed Matching Board,142647,50,ok
J131,Girl Getting Dressed #1,142648,50,ok
J135,Inside Story Market Stall,142652,50,ok
J136,Flight Puzzle,142653,50,ok
J142,Life Cycle of a Frog,142659,50,ok
J144,Papu Hau Fraction Board,142661,50,ok
J146,World Map Jigsaw,142662,50,ok
J147,Dinosaur Discovery,142663,50,ok
J157,Ocean floor puzzle,142673,50,ok
J159,My Ships Floor Puzzle,142675,50,ok
J163,1-2-3 puzzle,142679,50,ok
J171,Backyard Bugs Floor Puzzle,142687,50,ok
J179,Alphabet Road Puzzle,142695,50,ok
J18,Dinosaur alphabet and number puzzle,142910,50,ok
J180,Train Tray Puzzle,142696,50,ok
J188,In the Countryside Floor Puzzle,142703,50,ok
J189,Silly Silly Sea 2-sided Floor Puzzle,142704,50,ok
